GEOID,NAME,variable,estimate,moe,year,label,concept,func_label
1907980,Columbus ,B01001_003,180,44,2009,Estimate!!Total!!Male!!Under 5 years,SEX BY AGE,Under 5 years
1907980,Columbus ,B01001_027,161,40,2009,Estimate!!Total!!Female!!Under 5 years,SEX BY AGE,Under 5 years
1908070,Coon Rapids-Bayard ,B01001_003,81,35,2009,Estimate!!Total!!Male!!Under 5 years,SEX BY AGE,Under 5 years
1908070,Coon Rapids-Bayard ,B01001_027,68,33,2009,Estimate!!Total!!Female!!Under 5 years,SEX BY AGE,Under 5 years
1908130,Corning ,B01001_003,45,25,2009,Estimate!!Total!!Male!!Under 5 years,SEX BY AGE,Under 5 years
1908130,Corning ,B01001_027,64,40,2009,Estimate!!Total!!Female!!Under 5 years,SEX BY AGE,Under 5 years
1908190,Corwith-Wesley ,B01001_003,30,18,2009,Estimate!!Total!!Male!!Under 5 years,SEX BY AGE,Under 5 years
1908190,Corwith-Wesley ,B01001_027,7,6,2009,Estimate!!Total!!Female!!Under 5 years,SEX BY AGE,Under 5 years
1908220,Council Bluffs ,B01001_003,2302,157,2009,Estimate!!Total!!Male!!Under 5 years,SEX BY AGE,Under 5 years
1908220,Council Bluffs ,B01001_027,2065,188,2009,Estimate!!Total!!Female!!Under 5 years,SEX BY AGE,Under 5 years
1908310,Creston ,B01001_003,332,61,2009,Estimate!!Total!!Male!!Under 5 years,SEX BY AGE,Under 5 years
1908310,Creston ,B01001_027,228,67,2009,Estimate!!Total!!Female!!Under 5 years,SEX BY AGE,Under 5 years
1908520,Dallas Center-Grimes ,B01001_003,356,114,2009,Estimate!!Total!!Male!!Under 5 years,SEX BY AGE,Under 5 years
1908520,Dallas Center-Grimes ,B01001_027,504,163,2009,Estimate!!Total!!Female!!Under 5 years,SEX BY AGE,Under 5 years
1908550,Danville ,B01001_003,100,49,2009,Estimate!!Total!!Male!!Under 5 years,SEX BY AGE,Under 5 years
1908550,Danville ,B01001_027,102,59,2009,Estimate!!Total!!Female!!Under 5 years,SEX BY AGE,Under 5 years
1908580,Davenport ,B01001_003,3847,252,2009,Estimate!!Total!!Male!!Under 5 years,SEX BY AGE,Under 5 years
1908580,Davenport ,B01001_027,3797,215,2009,Estimate!!Total!!Female!!Under 5 years,SEX BY AGE,Under 5 years
1908610,Davis County ,B01001_003,336,99,2009,Estimate!!Total!!Male!!Under 5 years,SEX BY AGE,Under 5 years
1908610,Davis County ,B01001_027,299,99,2009,Estimate!!Total!!Female!!Under 5 years,SEX BY AGE,Under 5 years
1908730,Decorah ,B01001_003,242,55,2009,Estimate!!Total!!Male!!Under 5 years,SEX BY AGE,Under 5 years
1908730,Decorah ,B01001_027,269,48,2009,Estimate!!Total!!Female!!Under 5 years,SEX BY AGE,Under 5 years
1908790,Deep River-Millersburg ,B01001_003,49,27,2009,Estimate!!Total!!Male!!Under 5 years,SEX BY AGE,Under 5 years
1908790,Deep River-Millersburg ,B01001_027,57,37,2009,Estimate!!Total!!Female!!Under 5 years,SEX BY AGE,Under 5 years
1908880,Delwood ,B01001_003,17,9,2009,Estimate!!Total!!Male!!Under 5 years,SEX BY AGE,Under 5 years
1908880,Delwood ,B01001_027,16,12,2009,Estimate!!Total!!Female!!Under 5 years,SEX BY AGE,Under 5 years
1908910,Denison ,B01001_003,510,88,2009,Estimate!!Total!!Male!!Under 5 years,SEX BY AGE,Under 5 years
1908910,Denison ,B01001_027,323,107,2009,Estimate!!Total!!Female!!Under 5 years,SEX BY AGE,Under 5 years
1908940,Denver ,B01001_003,184,55,2009,Estimate!!Total!!Male!!Under 5 years,SEX BY AGE,Under 5 years
1908940,Denver ,B01001_027,157,56,2009,Estimate!!Total!!Female!!Under 5 years,SEX BY AGE,Under 5 years
1908970,Des Moines Independent ,B01001_003,8110,450,2009,Estimate!!Total!!Male!!Under 5 years,SEX BY AGE,Under 5 years
1908970,Des Moines Independent ,B01001_027,7628,421,2009,Estimate!!Total!!Female!!Under 5 years,SEX BY AGE,Under 5 years
1909060,Diagonal ,B01001_003,16,12,2009,Estimate!!Total!!Male!!Under 5 years,SEX BY AGE,Under 5 years
1909060,Diagonal ,B01001_027,7,8,2009,Estimate!!Total!!Female!!Under 5 years,SEX BY AGE,Under 5 years
1909120,Dike-New Hartford ,B01001_003,136,39,2009,Estimate!!Total!!Male!!Under 5 years,SEX BY AGE,Under 5 years
1909120,Dike-New Hartford ,B01001_027,79,33,2009,Estimate!!Total!!Female!!Under 5 years,SEX BY AGE,Under 5 years
1909450,Dows ,B01001_003,34,23,2009,Estimate!!Total!!Male!!Under 5 years,SEX BY AGE,Under 5 years
1909450,Dows ,B01001_027,29,21,2009,Estimate!!Total!!Female!!Under 5 years,SEX BY AGE,Under 5 years
1909480,Dubuque ,B01001_003,2498,125,2009,Estimate!!Total!!Male!!Under 5 years,SEX BY AGE,Under 5 years
1909480,Dubuque ,B01001_027,2302,127,2009,Estimate!!Total!!Female!!Under 5 years,SEX BY AGE,Under 5 years
